"doc_id"	"title"	"region"	"level"	"issuer"	"publish_date"	"policy_type"	"theme"	"tier"	"status"	"source_format"	"doc_no"	"source_url"	"notes"
"SH001"	"关于人工智能“模塑申城”的实施方案"	"上海"	"市级"	"上海市人民政府办公厅"	"2024/12/27"	"实施方案"	"AI总纲"	"core"	"official_text"	"pdf"	""	"https://www.shanghai.gov.cn/nw12344/20241227/670ecb743f954adfbc4fa60aaf3c688b.html"	"上海AI总纲型文件"
"SH002"	"上海市进一步扩大人工智能应用的若干措施"	"上海"	"市级"	"上海市经济和信息化委员会"	"2025/7/28"	"若干措施"	"AI应用支持"	"core"	"official_text"	"pdf"	""	"https://www.sheitc.sh.gov.cn/cyfz/20250728/e571042d40384fcf859a347eb99e10df.html"	"适合抽取算力券、模型券、语料券等字段"
"SH003"	"上海市加快推动“AI+制造”发展的实施方案"	"上海"	"市级"	"上海市相关主管部门"	"2025/8/11"	"实施方案"	"AI+制造"	"supplement"	"official_text"	"pdf"	""	"https://www.shanghai.gov.cn/qtsj/20250822/c40ef1b700114ad194f43fd36704f1da.html"	"专项补充文件"
"ZJ001"	"杭州市加快建设人工智能创新高地实施方案（2025年版）"	"杭州"	"市级"	"杭州市人民政府"	"2025/6/25"	"实施方案"	"AI总纲+配套举措"	"core"	"official_pdf"	"txt"	""	"https://zfgb.hangzhou.gov.cn/upload/default/bigfile/2025/06/25/20250625_29d2c8f4d7d82971e34da031a1e6b19b.pdf"	"杭州主干政策，PDF中含实施方案正文及配套政策举措，可后续按章节切分"
"ZJ002"	"浙江省加快推动“人工智能+科学”创新发展行动计划（2025—2027年）"	"浙江"	"省级"	"浙江省相关主管部门"	"2025/7/18"	"行动计划"	"AI+Science"	"core"	"official_text"	"txt"	""	"https://zj87.jxt.zj.gov.cn/zlzq/web/views/article/news/detail.html?id=281895"	"浙江省级专项政策"
"ZJ003"	"浙江省推进人工智能终端产业发展行动计划"	"浙江"	"省级"	"浙江省相关主管部门"	"2026"	"行动计划"	"AI终端产业"	"core"	"official_text"	"txt"	""	"https://zj87.jxt.zj.gov.cn/zlzq/citySite/views/article/news/detail.html?id=295847"	"适合补终端产业维度"
"JS001"	"江苏省“人工智能+”行动方案"	"江苏"	"省级"	"江苏省人民政府"	"2026/1/13"	"行动方案"	"人工智能+总纲"	"core"	"official_briefing_only"	"pdf"	""	"https://www.jiangsu.gov.cn/art/2026/1/13/art_46548_332.html"	"已核到官方发布会/解读页，待补正文直链"
"JS002"	"市政府办公室关于印发苏州市加快建设“人工智能+”城市行动方案（2025～2026年）的通知"	"苏州"	"市级"	"苏州市人民政府"	"2025/9/22"	"行动方案"	"人工智能+城市"	"core"	"official_text"	"txt"	"苏府办〔2025〕102号"	"https://www.suzhou.gov.cn/szsrmzf/zfbgswj/202509/95a8e52a6db5414db93a1fbc2d559e39.shtml"	"网页含通知正文及行动方案全文，适合直接入库"
"JS003"	"苏州市进一步加快建设“人工智能+”城市的若干政策措施"	"苏州"	"市级"	"苏州市人民政府"	"2025/12/31"	"若干措施"	"人工智能+城市"	"core"	"official_text"	"txt"	""	"https://www.suzhou.gov.cn/szsrmzf/zfwj/202512/81ccb2edeec5426990646da3f59dfc4b.shtml"	"条款性较强"
"JS004"	"南京市加快“人工智能+政务”应用场景建设推进方案"	"南京"	"市级"	"南京市数据局等"	"2026/4/2"	"推进方案"	"AI+政务"	"supplement"	"official_text"	"txt"	""	"https://njsj.nanjing.gov.cn/njszwfwglbgs/202604/t20260402_5817710.html"	"偏场景类专项"
"AH001"	"安徽省“人工智能+万物”应用行动方案"	"安徽"	"省级"	"安徽省人民政府办公厅"	"2026/2/26"	"行动方案"	"人工智能+应用"	"core"	"official_text"	"txt"	""	"https://www.xuancheng.gov.cn/PolicyCourier/show/860.html"	"安徽当前核心AI应用政策"
"AH002"	"安徽省通用人工智能创新发展三年行动计划（2023—2025年）"	"安徽"	"省级"	"安徽省科技厅等"	"2023/10/25"	"三年行动计划"	"通用人工智能"	"core"	"official_text"	"pdf"	""	"https://kjt.ah.gov.cn/public/21671/121837821.html"	"适合作为早期基线政策"
"AH003"	"打造通用人工智能产业创新和应用高地若干政策"	"安徽"	"省级"	"安徽省相关主管部门"	"2025/8/11"	"若干政策"	"通用人工智能"	"core"	"official_pdf"	"pdf"	""	"https://www.gy.gov.cn/upload_bz/download?id=960979&siteId=5"	"适合抽取平台、资金、场景支持字段"
"BJ001"	"北京市推动“人工智能+”行动计划（2024-2025年）"	"北京"	"市级"	"北京市发展和改革委员会等"	"2024/7/26"	"行动计划"	"人工智能+应用"	"core"	"official_text"	"txt"	""	"https://www.beijing.gov.cn/zhengce/zhengcefagui/202503/t20250325_4043893.html"	"北京AI应用总纲"
"BJ002"	"北京市促进通用人工智能创新发展的若干措施"	"北京"	"市级"	"北京市人民政府办公厅"	"2023/5/23"	"若干措施"	"通用人工智能"	"core"	"official_text"	"txt"	""	"https://www.beijing.gov.cn/zhengce/zhengcefagui/202305/t20230530_3116869.html"	"北京通用AI核心支持政策"
"BJ003"	"北京市加快人工智能赋能科学研究高质量发展行动计划（2025—2027年）"	"北京"	"市级"	"北京市相关主管部门"	"2025/7/22"	"行动计划"	"AI+Science"	"supplement"	"official_text"	"txt"	""	"https://www.beijing.gov.cn/zhengce/zhengcefagui/202507/t20250722_4154767.html"	"偏AI+Science专题"
